soybeans,"['Africa', -0.7185216295410856]"
soybeans,"['Oceania', 0.7359009583536318]"
potatoes,"['World', 0.715706150436833]"
rapeseed,"['Southern Africa', -0.7363594027760161]"
oranges,"['Africa', 0.843538903812007]"
grapes,"['Eastern Africa', -0.7565817599506048]"
vegetables_fresh_nes,"['Africa', -0.7975961224061533]"
vegetables_fresh_nes,"['Middle Africa', -0.7187984395113275]"
vegetables_fresh_nes,"['Southern Africa', -0.7050717859703797]"
watermelons,"['Americas', -0.7484699017926532]"
watermelons,"['South America', -0.8037881137078401]"
mangoes_mangosteens_guavas,"['Northern America', -0.703799913326138]"
mangoes_mangosteens_guavas,"['Caribbean', -0.7435752914319548]"
strawberries,"['Eastern Africa', 0.7931915412586178]"
strawberries,"['Americas', -0.8366734383290112]"
plantains,"['Africa', -0.7284144696054896]"
plantains,"['Middle Africa', -0.8428582500936103]"
beans_green,"['Central America', -0.7603504513536792]"
asparagus,"['Americas', 0.7323654445384516]"
peas_green,"['Eastern Africa', 0.758303077647828]"
figs,"['Americas', 0.758712798337557]"
maize_green,"['Southern Africa', -0.7405914920702367]"
maize_green,"['South America', 0.7393072222592809]"
