wheat,"['Western Asia', -0.7131695372896131]"
maize,"['Central Asia', -0.7023490370475762]"
soybeans,"['Northern Europe', 0.8520345764120041]"
bananas,"['Southern Africa', 0.7008810547636478]"
rapeseed,"['Southern Africa', -0.8544322484073109]"
cassava,"['World', 0.7154954160340955]"
oranges,"['Middle Africa', -0.7505516301805327]"
tomatoes,"['Southern Africa', 0.7420277456351059]"
tomatoes,"['South-Eastern Asia', 0.7246966934214242]"
onions_dry,"['Middle Africa', 0.7605809437845558]"
tangerines_mandarins_clem,"['Western Asia', 0.7009046455395723]"
vegetables_fresh_nes,"['Eastern Africa', 0.7536378849999419]"
vegetables_fresh_nes,"['Middle Africa', 0.7965871390934808]"
watermelons,"['Middle Africa', 0.7059126860919043]"
pineapples,"['Southern Africa', -0.728303199085883]"
fruit_fresh_nes,"['Southern Africa', -0.7270073378060335]"
mangoes_mangosteens_guavas,"['Southern Africa', -0.7167228631296779]"
mangoes_mangosteens_guavas,"['Caribbean', -0.7070653175298729]"
triticale,"['World', 0.706629432035102]"
papayas,"['Southern Africa', 0.8015374156130591]"
maize_green,"['World', 0.7530937043000112]"
maize_green,"['Southern Africa', -0.9127088214551717]"
